id_str,created_at,retweeted_status.user.screen_name,text,entities.user_mentions.0.screen_name,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.urls.0.url,entities.media.0.media_url,retweet_count
470256416708911105,Sat May 24 17:34:01 +0000 2014,"","Since 1990, newborn deaths have reduced by over 1/3. But 2.9m newborns still died in 2012 #EveryNewborn http://t.co/gzEtDolJRA","",EveryNewborn,"","","",http://pbs.twimg.com/media/BoEynJjIAAACOPL.jpg,417
470229437771182080,Sat May 24 15:46:49 +0000 2014,"",Fantastic news! #EveryNewborn passes at #WHA67. Hugely important step for improving the health of mothers and newborns. @every_newborn,every_newborn,EveryNewborn,WHA67,"","","",131
470229005204213760,Sat May 24 15:45:05 +0000 2014,every_newborn,RT @every_newborn: We are pleased to report that #EveryNewborn action plan has passed #WHA67! Thanks to all-much work lies ahead! http://t.…,every_newborn,EveryNewborn,WHA67,"","",http://pbs.twimg.com/media/BoZKJpEIgAAmnhy.jpg,117
470208601777508352,Sat May 24 14:24:01 +0000 2014,"","In #Sahel region, 577,000 children die each year from malnutrition-related causes #voicesofchildren @eu_echo http://t.co/SFHTb3qpCD",eu_echo,Sahel,voicesofchildren,"","",http://pbs.twimg.com/media/Bn7LYXQIcAALb-b.jpg,462
470076986803892224,Sat May 24 05:41:01 +0000 2014,"",RT @UNICEF_Pakistan Help us eradicate #polio. Post a selfie while taking #polio drops and post with #EndPolio #Pakistan @PolioReporting,UNICEF_Pakistan,polio,polio,EndPolio,"","",67
469986388960894976,Fri May 23 23:41:01 +0000 2014,"",#FF Follow @UNICEFjobs for our latest vacancies. And meet the Faces of UNICEF: http://t.co/kx0XmmXCnc #jobs #careers,UNICEFJobs,FF,jobs,careers,http://t.co/kx0XmmXCnc,"",61
469942096854798336,Fri May 23 20:45:01 +0000 2014,"","Carlos Alberto Parreira, director of Brazil's football team, appointed @unicefbrasil sports champion MT @unicefbrasil http://t.co/xFTtVBWjzD",unicefbrasil,"","","","",http://pbs.twimg.com/media/BoP8iT3IAAAvEPL.jpg,62
469923449062703104,Fri May 23 19:30:55 +0000 2014,"",@innercitypress Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,innercitypress,"","","",http://t.co/kiY2ez3Lgf,"",3
469919449207013376,Fri May 23 19:15:02 +0000 2014,"",Congrats @olympiacos_org on winning 41st league title - &amp; for supporting us on #immunization! http://t.co/7acvWlA9aR http://t.co/T3tQgITRCa,olympiacos_org,immunization,"","",http://t.co/7acvWlA9aR,http://pbs.twimg.com/media/BoV9P7JIgAAN2GM.jpg,109
469908122568753152,Fri May 23 18:30:01 +0000 2014,"","Since 1992, we’ve worked with @eu_echo to help children and women in 55 countries http://t.co/thA7XJW7Ho #voicesofchildren",eu_echo,voicesofchildren,"","",http://t.co/thA7XJW7Ho,"",39
