name,twitter,followers,followees,location,link,ratio
Renewable Energy,@newenergy_blog,13702,1192,,https://twitter.com/newenergy_blog,11.49496644295302
Robert Cortez,@Emperor_Bob,13694,11381,Anchorage Alaska,https://twitter.com/Emperor_Bob,1.203233459274229
TEQ,@teqld,13644,3627,Queensland,https://twitter.com/teqld,3.761786600496278
Lesley Dewar,@LesleyDewar1,13595,14919,Perth WA,https://twitter.com/LesleyDewar1,0.9112541055030497
Caitlin Fitzsimmons,@niltiac,13581,6192,Sydney,https://twitter.com/niltiac,2.193313953488372
Marcus the KNIGHT,@blanketcrap,13337,14055,Mt Morgan,https://twitter.com/blanketcrap,0.9489149768765563
Chris Tuttle,@ChrisTuttle,13314,7025,"New York, NY",https://twitter.com/ChrisTuttle,1.8952313167259787
Tierra Silvestre,@tierrasilvestre,13313,1824,,https://twitter.com/tierrasilvestre,7.298793859649122
sophie uliano,@sophieuliano,13291,10682,Los Angeles/UK,https://twitter.com/sophieuliano,1.244242651188916
Conservation Careers,@ConservCareers,13257,12909,Global,https://twitter.com/ConservCareers,1.0269579363234953
Lyndon Ward,@lyndonward,13209,12514,"Calgary, Canada",https://twitter.com/lyndonward,1.0555377976666134
Modscape ,@ModscapeAus,13177,562,,https://twitter.com/ModscapeAus,23.44661921708185
Shane Boyd-Harcourts,@LuxeAustralia,13156,13871,Brookwater & Springfield Qld.,https://twitter.com/LuxeAustralia,0.9484536082474226
Pro Bono News,@ProBonoNews,13052,961,Australia,https://twitter.com/ProBonoNews,13.58168574401665
Republic of Change,@vancityroc,12987,5998,Vancouver,https://twitter.com/vancityroc,2.1652217405801935
Ben Harris-Roxas,@ben_hr,12848,10150,"Sydney, Australia",https://twitter.com/ben_hr,1.2658128078817734
Master Plan,@SustainableMP,12780,17607,USA,https://twitter.com/SustainableMP,0.7258476742204805
Africam,@africam,12704,6145,South Africa,https://twitter.com/africam,2.0673718470301057
Renu Suwaris,@RenuSuwaris,12656,2793,Australia,https://twitter.com/RenuSuwaris,4.531328320802005
David Manne,@david_manne,12598,404,"Melbourne, Australia",https://twitter.com/david_manne,31.183168316831683
Simon Crean,@SimonCrean_MP,12555,4887,,https://twitter.com/SimonCrean_MP,2.569060773480663
1 Million Women,@1millionwomen,12535,5588,Australia,https://twitter.com/1millionwomen,2.2431997136721544
Nicholas Wyman,@nicholas_wyman,12496,10614,,https://twitter.com/nicholas_wyman,1.177312982852836
lettercrank,@scott64544215,12470,8929,melbourne,https://twitter.com/scott64544215,1.396572964497704
hyperlocavore,@hyperlocavore,12399,2269,USA,https://twitter.com/hyperlocavore,5.464521815777876
Zoos Victoria,@ZoosVictoria,12358,1317,"Victoria, Australia",https://twitter.com/ZoosVictoria,9.383447228549734
Environment Victoria,@EnviroVic,12339,5976,"Victoria, Australia",https://twitter.com/EnviroVic,2.0647590361445785
HSI Australia,@hsi_australia,12309,12251,"Sydney, Australia",https://twitter.com/hsi_australia,1.0047343074034774
Architects BNIM,@BNIM,12298,1784,"Kansas City, MO",https://twitter.com/BNIM,6.893497757847534
Broke Yet Global,@brokeyetglobal,12284,8949,USA Baby!,https://twitter.com/brokeyetglobal,1.3726673371326406
Damian Grounds,@HelpSaveBees,12254,2813,"Chichester, West Sussex, UK",https://twitter.com/HelpSaveBees,4.356203341628155
Miranda Abel,@MirandaAbel1,12223,12914,Australia,https://twitter.com/MirandaAbel1,0.9464921790305095
LCV,@LCVoters,12108,2542,"Washington, D.C.",https://twitter.com/LCVoters,4.76317859952793
Slow Food Melbourne,@SlowFoodMelb,12101,1806,"Victoria, Australia",https://twitter.com/SlowFoodMelb,6.700442967884828
Fundraising Ideas,@FundraisingIP,12092,3835,Los Angeles,https://twitter.com/FundraisingIP,3.153063885267275
Dumbo Feather,@dumbofeather,12048,584,Global,https://twitter.com/dumbofeather,20.63013698630137
Aust Academy Science,@Science_Academy,11978,1098,"Canberra, Australia",https://twitter.com/Science_Academy,10.908925318761383
Marcus Westbury,@unsungsongs,11789,5176,"Melbourne, Australia",https://twitter.com/unsungsongs,2.277627511591963
Andrew Bartlett,@AndrewBartlett,11760,10670,Brisbane,https://twitter.com/AndrewBartlett,1.1021555763823805
pip courtney,@pipcourtney,11758,5470,brisbane,https://twitter.com/pipcourtney,2.149542961608775
TheClimateInstitute,@climateinstitut,11703,1076,"Sydney, Australia",https://twitter.com/climateinstitut,10.87639405204461
bob harding,@bob_quartz,11695,10413,"Muswellbrook, New South Wales",https://twitter.com/bob_quartz,1.1231153365984827
Promise or Pay,@promiseorpay,11666,9927,,https://twitter.com/promiseorpay,1.1751788052785332
Diana Russo,@DianaRusso,11652,13117,"Kuranda, Cairns & South Aus",https://twitter.com/DianaRusso,0.8883128764199131
Darin Sullivan,@darinsullivan,11645,11473,"NSW, Australia",https://twitter.com/darinsullivan,1.0149917196897063
Support Ocean Energy,@OceanEnergy2,11546,17815,Visit the Indiegogo,https://twitter.com/OceanEnergy2,0.6481055290485546
Wilderness Society,@Wilderness_Aus,11533,4209,Australia,https://twitter.com/Wilderness_Aus,2.74008077928249
Nina Springle,@ninaspringle,11522,5061,"Melbourne, Australia",https://twitter.com/ninaspringle,2.276625172890733
Cameron Reilly,@cameronreilly,11501,9609,"Brisbane, QLD, Australia",https://twitter.com/cameronreilly,1.1968987407638672
Shea Gunther,@sheagunther,11486,4938,"Portland, Maine",https://twitter.com/sheagunther,2.32604293236128
Enphase Energy,@Enphase,11483,1307,"Petaluma, California",https://twitter.com/Enphase,8.785768936495792
